num_nodes,gamma,threshold,repression_rate,initial_size,initial_density,initial_clustering,final_size,num_iters
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,6.666666666666666297e-01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,2.857142857142856984e-01,0.000000000000000000e+00,1.893100000000000000e+04,1.100000000000000000e+01
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,6.666666666666666297e-01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,6.666666666666666297e-01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,6.666666666666666297e-01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,1.424501424501424529e-01,6.081920403489030624e-01,2.031500000000000000e+04,8.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,6.666666666666666297e-01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,2.857142857142856984e-01,2.559523809523809312e-01,1.900800000000000000e+04,1.200000000000000000e+01
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,6.666666666666666297e-01,5.833333333333332593e-01,1.903400000000000000e+04,1.000000000000000000e+01
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,6.666666666666666297e-01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,6.666666666666666297e-01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,1.953400000000000000e+04,1.200000000000000000e+01
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,6.666666666666666297e-01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.040800000000000000e+04,8.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,6.666666666666666297e-01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.300000000000000000e+01,7.196969696969697516e-02,2.145079830563701717e-01,1.905000000000000000e+04,1.100000000000000000e+01
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000222e-01,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,6.666666666666666297e-01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,6.666666666666666297e-01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+04,2.299999999999999822e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
